City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Hithadhoo,MV,2021-04-25 22:30:58,-0.6,73.0833,82.15,69,79,4.29
192,Tessalit,ML,2021-04-25 22:30:59,20.1986,1.0114,88.81,7,1,8.25
193,Norman Wells,CA,2021-04-25 22:30:59,65.282,-126.8329,37.4,41,20,12.66
194,Arraial Do Cabo,BR,2021-04-25 22:29:55,-22.9661,-42.0278,75.2,88,0,6.91
195,Ondjiva,AO,2021-04-25 22:31:00,-17.0667,15.7333,65.52,35,4,7.09
196,Aksarka,RU,2021-04-25 22:31:00,66.5606,67.7975,33.82,94,100,10.92
197,Aykhal,RU,2021-04-25 22:31:01,66.0,111.5,4.28,94,100,25.55
198,Doume,CM,2021-04-25 22:31:02,4.2333,13.45,70.43,85,89,0.65
199,Kaifeng,CN,2021-04-25 22:31:03,34.7911,114.3483,55.4,76,90,4.47
200,Mwense,ZM,2021-04-25 22:31:03,-10.3845,28.698,66.63,75,41,3.36
201,Aquiraz,BR,2021-04-25 22:31:04,-3.9014,-38.3911,81.0,83,0,4.61
202,Bhawana,PK,2021-04-25 22:31:05,31.5692,72.649,77.79,22,0,5.26
203,Opuwo,NA,2021-04-25 22:31:05,-18.0607,13.84,65.84,51,20,3.31
204,Eureka,US,2021-04-25 22:31:06,40.8021,-124.1637,55.99,76,40,10.36
205,Kajaani,FI,2021-04-25 22:30:10,64.2273,27.7285,35.6,87,90,8.05
206,Tayshet,RU,2021-04-25 22:31:07,55.9342,98.0044,33.53,97,100,10.0
207,Calama,CL,2021-04-25 22:31:08,-22.4667,-68.9333,62.6,25,0,21.85
208,Nouadhibou,MR,2021-04-25 22:31:08,20.931,-17.0347,66.2,82,0,14.97
209,Nacala,MZ,2021-04-25 22:31:09,-14.5428,40.6728,72.84,97,100,5.1
210,Adra,ES,2021-04-25 22:31:09,36.7496,-3.0206,64.4,82,40,5.75
211,Bereda,ES,2021-04-25 22:31:10,43.2686,-7.5406,53.01,100,100,1.01
212,College,US,2021-04-25 22:31:11,64.8569,-147.8028,60.8,33,1,1.03
213,Cidreira,BR,2021-04-25 22:28:39,-30.1811,-50.2056,68.02,70,83,12.59
214,Lasa,IT,2021-04-25 22:28:26,46.6166,10.7002,55.4,65,0,4.61
215,Fortuna,US,2021-04-25 22:31:11,40.5982,-124.1573,55.99,76,90,11.5
216,Hirara,JP,2021-04-25 22:31:12,24.8,125.2833,71.6,64,20,12.66
217,Niquelandia,BR,2021-04-25 22:31:12,-14.4739,-48.4597,75.58,76,49,1.07
218,Broome,US,2021-04-25 22:31:13,42.2506,-75.833,54.0,81,90,11.5
219,Udachnyy,RU,2021-04-25 22:31:13,66.4167,112.4,7.21,90,100,24.94
220,Komsomolskiy,UZ,2021-04-25 22:31:14,40.4272,71.7189,59.0,51,0,4.61
221,Oklahoma City,US,2021-04-25 22:30:02,35.4676,-97.5164,80.6,44,1,25.32
222,Diamantino,BR,2021-04-25 22:31:15,-14.4086,-56.4461,72.1,95,100,6.51
223,Cabo San Lucas,MX,2021-04-25 22:30:46,22.8909,-109.9124,84.0,20,90,6.91
224,Silver City,US,2021-04-25 22:31:15,32.7701,-108.2803,78.8,6,1,12.66
225,Leningradskiy,RU,2021-04-25 22:29:13,69.3833,178.4167,24.55,85,100,1.36
226,Lae,PG,2021-04-25 22:31:16,-6.7221,146.9847,77.74,89,100,6.89
227,Pitimbu,BR,2021-04-25 22:30:05,-7.4706,-34.8086,78.8,89,0,6.91
228,Tilichiki,RU,2021-04-25 22:31:16,60.4667,166.1,30.54,94,99,5.23
229,Talara,PE,2021-04-25 22:31:17,-4.5772,-81.2719,70.25,82,42,12.84
230,Glyadyanskoye,RU,2021-04-25 22:31:18,54.9075,65.0883,44.38,66,83,7.74
231,Three Hills,CA,2021-04-25 22:31:18,51.7001,-113.2686,46.4,36,100,2.3
232,Shingu,JP,2021-04-25 22:28:04,33.7333,135.9833,48.33,54,0,5.73
233,Mountain Home,US,2021-04-25 22:31:19,43.133,-115.6912,51.8,71,75,4.61
234,Lozuvatka,UA,2021-04-25 22:31:20,48.0571,33.2858,44.6,70,0,4.47
235,Antofagasta,CL,2021-04-25 22:28:14,-23.65,-70.4,62.6,77,0,9.22
236,Bambous Virieux,MU,2021-04-25 22:31:21,-20.3428,57.7575,77.0,88,75,14.97
237,Khatanga,RU,2021-04-25 22:31:22,71.9667,102.5,5.02,94,72,11.32
238,Mubi,NG,2021-04-25 22:31:22,10.2676,13.2644,83.79,42,100,2.1
239,Narsaq,GL,2021-04-25 22:31:23,60.9167,-46.05,50.0,32,90,14.97
240,Castelldefels,ES,2021-04-25 22:31:23,41.2779,1.9703,63.0,59,0,14.97
241,Oussouye,SN,2021-04-25 22:31:24,12.485,-16.5469,75.2,94,0,4.61
242,Almaznyy,RU,2021-04-25 22:31:24,48.0448,40.045,46.4,53,0,6.71
243,Morganton,US,2021-04-25 22:26:35,35.7454,-81.6848,66.0,39,52,3.0
244,Nhulunbuy,AU,2021-04-25 22:31:26,-12.2333,136.7667,77.0,94,75,8.72
245,Shimoda,JP,2021-04-25 22:31:26,34.6667,138.95,55.0,40,37,19.62
246,Nantucket,US,2021-04-25 22:29:23,41.2835,-70.0995,48.2,93,90,24.16
247,Deputatskiy,RU,2021-04-25 22:31:27,69.3,139.9,22.98,88,100,4.36
248,Nelson Bay,AU,2021-04-25 22:31:27,-32.7167,152.15,57.99,100,40,12.66
249,Bondo,CD,2021-04-25 22:31:28,3.8146,23.6866,68.05,99,100,1.74
